,w,p(w)
0,0.0,1.52587890625e-05
1,1.0,1.52587890625e-05
2,2.0,1.52587890625e-05
3,3.0,3.0517578125e-05
4,4.0,3.0517578125e-05
5,5.0,4.57763671875e-05
6,6.0,6.103515625e-05
7,7.0,7.62939453125e-05
8,8.0,9.1552734375e-05
9,9.0,0.0001220703125
10,10.0,0.000152587890625
11,11.0,0.00018310546875
12,12.0,0.0002288818359375
13,13.0,0.000274658203125
14,14.0,0.000335693359375
15,15.0,0.0004119873046875
16,16.0,0.00048828125
17,17.0,0.0005645751953125
18,18.0,0.00067138671875
19,19.0,0.0007781982421875
20,20.0,0.0009002685546875
21,21.0,0.0010528564453125
22,22.0,0.0012054443359375
23,23.0,0.001373291015625
24,24.0,0.0015716552734375
25,25.0,0.0017852783203125
26,26.0,0.00201416015625
27,27.0,0.0022735595703125
28,28.0,0.0025482177734375
29,29.0,0.002838134765625
30,30.0,0.003173828125
31,31.0,0.003509521484375
32,32.0,0.0038604736328125
33,33.0,0.0042572021484375
34,34.0,0.004669189453125
35,35.0,0.005096435546875
36,36.0,0.0055694580078125
37,37.0,0.00604248046875
38,38.0,0.00653076171875
39,39.0,0.0070648193359375
40,40.0,0.007598876953125
41,41.0,0.008148193359375
42,42.0,0.00872802734375
43,43.0,0.009307861328125
44,44.0,0.0098876953125
45,45.0,0.0105133056640625
46,46.0,0.0111083984375
47,47.0,0.0117034912109375
48,48.0,0.0123291015625
49,49.0,0.012939453125
50,50.0,0.0135345458984375
51,51.0,0.0141448974609375
52,52.0,0.0147247314453125
53,53.0,0.0152740478515625
54,54.0,0.015838623046875
55,55.0,0.0163726806640625
56,56.0,0.0168609619140625
57,57.0,0.0173492431640625
58,58.0,0.017791748046875
59,59.0,0.0181884765625
60,60.0,0.018585205078125
61,61.0,0.0189208984375
62,62.0,0.019195556640625
63,63.0,0.01947021484375
64,64.0,0.019683837890625
65,65.0,0.01983642578125
66,66.0,0.0199737548828125
67,67.0,0.0200347900390625
68,68.0,0.020050048828125
69,69.0,0.0200347900390625
70,70.0,0.0199737548828125
71,71.0,0.01983642578125
72,72.0,0.019683837890625
73,73.0,0.01947021484375
74,74.0,0.019195556640625
75,75.0,0.0189208984375
76,76.0,0.018585205078125
77,77.0,0.0181884765625
78,78.0,0.017791748046875
79,79.0,0.0173492431640625
80,80.0,0.0168609619140625
81,81.0,0.0163726806640625
82,82.0,0.015838623046875
83,83.0,0.0152740478515625
84,84.0,0.0147247314453125
85,85.0,0.0141448974609375
86,86.0,0.0135345458984375
87,87.0,0.012939453125
88,88.0,0.0123291015625
89,89.0,0.0117034912109375
90,90.0,0.0111083984375
91,91.0,0.0105133056640625
92,92.0,0.0098876953125
93,93.0,0.009307861328125
94,94.0,0.00872802734375
95,95.0,0.008148193359375
96,96.0,0.007598876953125
97,97.0,0.0070648193359375
98,98.0,0.00653076171875
99,99.0,0.00604248046875
100,100.0,0.0055694580078125
101,101.0,0.005096435546875
102,102.0,0.004669189453125
103,103.0,0.0042572021484375
104,104.0,0.0038604736328125
105,105.0,0.003509521484375
106,106.0,0.003173828125
107,107.0,0.002838134765625
108,108.0,0.0025482177734375
109,109.0,0.0022735595703125
110,110.0,0.00201416015625
111,111.0,0.0017852783203125
112,112.0,0.0015716552734375
113,113.0,0.001373291015625
114,114.0,0.0012054443359375
115,115.0,0.0010528564453125
116,116.0,0.0009002685546875
117,117.0,0.0007781982421875
118,118.0,0.00067138671875
119,119.0,0.0005645751953125
120,120.0,0.00048828125
121,121.0,0.0004119873046875
122,122.0,0.000335693359375
123,123.0,0.000274658203125
124,124.0,0.0002288818359375
125,125.0,0.00018310546875
126,126.0,0.000152587890625
127,127.0,0.0001220703125
128,128.0,9.1552734375e-05
129,129.0,7.62939453125e-05
130,130.0,6.103515625e-05
131,131.0,4.57763671875e-05
132,132.0,3.0517578125e-05
133,133.0,3.0517578125e-05
134,134.0,1.52587890625e-05
135,135.0,1.52587890625e-05
136,136.0,1.52587890625e-05
