,E(p),E(p),E(p),sig_share,sig_share,sig_share,p_of_E(\Delta T),p_of_E(\Delta T),p_of_E(\Delta T)
,z,w,bs,z,w,bs,z,w,bs
Ca-Na-0,0.0797015665445,0.0764999821981,0.0738823333333,0.566,0.584166666667,0.61,0.00815253857585,0.00654602050781,0.0063
Ca-Na-1,0.0795908204809,0.075534072876,0.0738574666667,0.569666666667,0.581,0.6105,0.00815253857585,0.00654602050781,0.0059
Ca-Na-2,0.079094447288,0.0754523696899,0.0733576833333,0.571166666667,0.586666666667,0.613666666667,0.00815253857585,0.00654602050781,0.0052
Ca-Na-3,0.0790173158641,0.0756789093018,0.0731232,0.573166666667,0.586,0.614666666667,0.00815253857585,0.00654602050781,0.0055
Ca-Na-4,0.0795233016173,0.0770652821859,0.0736770166667,0.5725,0.5845,0.611833333333,0.00815253857585,0.00654602050781,0.005
Ca-Na-5,0.0795610814813,0.0761034266154,0.0736908833333,0.571,0.579333333333,0.608,0.00815253857585,0.00654602050781,0.005
Ca-Na-6,0.0800203612677,0.0765462468465,0.0742505333333,0.564666666667,0.577,0.609,0.00815253857585,0.00654602050781,0.0057
Ca-Na-7,0.0798801474282,0.0765937474569,0.07409075,0.570166666667,0.582666666667,0.612166666667,0.00815253857585,0.00654602050781,0.0055
Ca-Na-8,0.0786207734896,0.0754822769165,0.0727276333333,0.569833333333,0.58,0.614,0.00815253857585,0.00654602050781,0.0058
Ca-Na-9,0.0782586604214,0.0747147827148,0.0723952333333,0.567,0.576166666667,0.6085,0.00815253857585,0.00654602050781,0.0057
