,E(p),E(p),E(p),sig_share,sig_share,sig_share,p_of_E(\Delta T),p_of_E(\Delta T),p_of_E(\Delta T)
,z,w,bs,z,w,bs,z,w,bs
Ca-Na-0,0.219422654764,0.167686063131,0.217017183333,0.2575,0.3245,0.299333333333,0.0435168238057,0.00912475585938,0.0197
Ca-Na-1,0.217735627136,0.165621899923,0.215323866667,0.245666666667,0.315833333333,0.292333333333,0.0435168238057,0.00912475585938,0.0193
Ca-Na-2,0.218550928334,0.165300885518,0.2162636,0.258333333333,0.323833333333,0.2945,0.0435168238057,0.00912475585938,0.0178
Ca-Na-3,0.21950308445,0.165958058675,0.217179616667,0.254166666667,0.321666666667,0.295166666667,0.0435168238057,0.00912475585938,0.0197
Ca-Na-4,0.219189095617,0.16586206309,0.216991716667,0.255166666667,0.3205,0.2955,0.0435168238057,0.00912475585938,0.0199
Ca-Na-5,0.21833571188,0.165666374207,0.21605355,0.2545,0.318666666667,0.293,0.0435168238057,0.00912475585938,0.0193
Ca-Na-6,0.218986953831,0.166902147929,0.216623283333,0.255166666667,0.318666666667,0.299,0.0435168238057,0.00912475585938,0.0213
Ca-Na-7,0.21935569943,0.167453979492,0.217030933333,0.252333333333,0.319333333333,0.295333333333,0.0435168238057,0.00912475585938,0.0191
Ca-Na-8,0.218698521545,0.16429074351,0.21661655,0.256833333333,0.315833333333,0.3,0.0435168238057,0.00912475585938,0.0196
Ca-Na-9,0.218267820228,0.165292930603,0.216023116667,0.260666666667,0.320166666667,0.3015,0.0435168238057,0.00912475585938,0.0201
