,E(p),E(p),E(p),sig_share,sig_share,sig_share,p_of_E(\Delta T),p_of_E(\Delta T),p_of_E(\Delta T)
,z,w,bs,z,w,bs,z,w,bs
lt-Na-0,0.0931786427967,0.0913160451253,0.0862466833333,0.469166666667,0.484333333333,0.5235,0.022573702202,0.0167694091797,0.0171
lt-Na-1,0.0922796120321,0.0905871225993,0.0853839333333,0.466666666667,0.482333333333,0.5155,0.022573702202,0.0167694091797,0.0141
lt-Na-2,0.0928620143754,0.091515973409,0.08589225,0.462166666667,0.488666666667,0.519166666667,0.022573702202,0.0167694091797,0.0154
lt-Na-3,0.0919920802142,0.0899197794596,0.0850214833333,0.464666666667,0.481833333333,0.516333333333,0.022573702202,0.0167694091797,0.0158
lt-Na-4,0.0926251460585,0.0904968795776,0.0855823,0.470666666667,0.4875,0.529,0.022573702202,0.0167694091797,0.0141
lt-Na-5,0.0927555748758,0.0917529118856,0.0857189833333,0.4675,0.4915,0.521666666667,0.022573702202,0.0167694091797,0.0148
lt-Na-6,0.0918338556997,0.0889329884847,0.0847518,0.469833333333,0.487833333333,0.521,0.022573702202,0.0167694091797,0.013
lt-Na-7,0.0923733036933,0.0906477254232,0.0853526,0.460833333333,0.4855,0.515333333333,0.022573702202,0.0167694091797,0.0161
lt-Na-8,0.0931071305505,0.0913038864136,0.0861446833333,0.477333333333,0.485833333333,0.524666666667,0.022573702202,0.0167694091797,0.0147
lt-Na-9,0.0931937942383,0.0914365056356,0.0862902833333,0.474666666667,0.487666666667,0.524166666667,0.022573702202,0.0167694091797,0.0151
