,E(p),E(p),E(p),sig_share,sig_share,sig_share,p_of_E(\Delta T),p_of_E(\Delta T),p_of_E(\Delta T)
,z,w,bs,z,w,bs,z,w,bs
lt-d18O-0,0.133442448456,0.110359680812,0.128528966667,0.369333333333,0.436,0.413666666667,0.0242741979292,0.00859069824219,0.0169
lt-d18O-1,0.134145551534,0.110647443136,0.129381366667,0.3705,0.441333333333,0.416333333333,0.0242741979292,0.00859069824219,0.0165
lt-d18O-2,0.132500085953,0.109668852965,0.127498516667,0.379166666667,0.439833333333,0.422166666667,0.0242741979292,0.00859069824219,0.0171
lt-d18O-3,0.134575309096,0.112363228321,0.129654766667,0.379833333333,0.435,0.4195,0.0242741979292,0.00859069824219,0.0173
lt-d18O-4,0.134010523946,0.110638918082,0.1291574,0.378166666667,0.442166666667,0.418833333333,0.0242741979292,0.00859069824219,0.018
lt-d18O-5,0.132956399865,0.109137435118,0.128084266667,0.372666666667,0.437166666667,0.415666666667,0.0242741979292,0.00859069824219,0.0177
lt-d18O-6,0.133297478117,0.111080196222,0.128287583333,0.3835,0.446,0.4255,0.0242741979292,0.00859069824219,0.017
lt-d18O-7,0.133101512994,0.109223131657,0.1280873,0.375666666667,0.444666666667,0.416333333333,0.0242741979292,0.00859069824219,0.017
lt-d18O-8,0.13370797816,0.110369319439,0.12879925,0.381333333333,0.443,0.4235,0.0242741979292,0.00859069824219,0.0175
lt-d18O-9,0.13394797623,0.110382976691,0.12910495,0.376333333333,0.440666666667,0.418,0.0242741979292,0.00859069824219,0.0189
